,model,run,timed,implementation,initial_parameters,final_parameters,learning_time,learning_rounds,training_set_loglikelihood
14,Tandem,3,True,SYMBOLIC_LOG_SEMIRING,"[1.1917253576915874, 0.2270283323168278, 4.776540472256847, 4.23784506176558]","{'mu1a': 0.22369222578592377, 'mu1b': 1.640351504399784, 'mu2': 2.133080921309586, 'kappa': 4.051823620004051}",119.323193,3,7124.788742121840187
15,Tandem,3,False,CLASSIC,"[1.1917253576915874, 0.2270283323168278, 4.776540472256847, 4.23784506176558]","{'mu1a': 0.24764066768952891, 'mu1b': 1.8340025351542855, 'mu2': 3.522343417629773, 'kappa': 4.472288002097512}",1254.642124,18,-712.51176085108602365
16,Tandem,3,False,SYMBOLIC,"[1.1917253576915874, 0.2270283323168278, 4.776540472256847, 4.23784506176558]","{'mu1a': 0.24764066768952891, 'mu1b': 1.8340025351542855, 'mu2': 3.522343417629773, 'kappa': 4.472288002097512}",510.051236,18,-712.51176085108602365
17,Tandem,3,False,SYMBOLIC_LOG_SEMIRING,"[1.1917253576915874, 0.2270283323168278, 4.776540472256847, 4.23784506176558]","{'mu1a': 0.2476406676895288, 'mu1b': 1.8340025351542848, 'mu2': 3.522343417629769, 'kappa': 4.472288002097503}",510.076937,18,-712.51176085108613734
18,Tandem,4,True,CLASSIC,"[1.39066053784405, 1.136531298558277, 3.9812386481816504, 1.0771801088898796]","{'mu1a': 0.21030666995318859, 'mu1b': 1.667638775418855, 'mu2': 1.7814972710037398, 'kappa': 3.878442512193946}",1319.858267,3,7058.8152346876531738
19,Tandem,4,True,SYMBOLIC,"[1.39066053784405, 1.136531298558277, 3.9812386481816504, 1.0771801088898796]","{'mu1a': 0.21030666995318859, 'mu1b': 1.6676387754188549, 'mu2': 1.7814972710037398, 'kappa': 3.8784425121939456}",117.96614,3,7058.8152346876531738
20,Tandem,4,True,SYMBOLIC_LOG_SEMIRING,"[1.39066053784405, 1.136531298558277, 3.9812386481816504, 1.0771801088898796]","{'mu1a': 0.21030666995318725, 'mu1b': 1.667638775418855, 'mu2': 1.7814972710037393, 'kappa': 3.8784425121939523}",118.171886,3,7058.8152346876495358
21,Tandem,4,False,CLASSIC,"[1.39066053784405, 1.136531298558277, 3.9812386481816504, 1.0771801088898796]","{'mu1a': 0.2592473663669506, 'mu1b': 2.0828688644834967, 'mu2': 4.38681646945779, 'kappa': 5.274861448001146}",1793.478239,22,-756.5652646029718653
22,Tandem,4,False,SYMBOLIC,"[1.39066053784405, 1.136531298558277, 3.9812386481816504, 1.0771801088898796]","{'mu1a': 0.25924736636695067, 'mu1b': 2.0828688644834967, 'mu2': 4.386816469457789, 'kappa': 5.274861448001148}",708.683667,22,-756.565264602971979
23,Tandem,4,False,SYMBOLIC_LOG_SEMIRING,"[1.39066053784405, 1.136531298558277, 3.9812386481816504, 1.0771801088898796]","{'mu1a': 0.2592473663669508, 'mu1b': 2.0828688644834967, 'mu2': 4.386816469457793, 'kappa': 5.274861448001146}",709.341315,22,-756.5652646029720927
