,model,run,timed,implementation,initial_parameters,final_parameters,learning_time,learning_rounds,training_set_loglikelihood
21,Polling,4,False,CLASSIC,"[0.0017281572577812023, 0.0009857330175329921]","{'mu': 1.5040893175656254e-05, 'gammax': 0.0027540888130996636}",107.229713,12,-150.16014460458123381
22,Polling,4,False,SYMBOLIC,"[0.0017281572577812023, 0.0009857330175329921]","{'mu': 1.5040893175656257e-05, 'gammax': 0.0027540888130996636}",34.529461,12,-150.16014460458123381
23,Polling,4,False,SYMBOLIC_LOG_SEMIRING,"[0.0017281572577812023, 0.0009857330175329921]","{'mu': 1.5040893175656264e-05, 'gammax': 0.0027540888130996584}",34.715224,12,-150.16014460458114854
24,Polling,5,True,CLASSIC,"[0.0012234544075675102, 0.0017851702913217827]","{'mu': 0.901696125997164, 'gammax': 199.8891619761004}",214.530742,4,12005.452676332422925
25,Polling,5,True,SYMBOLIC,"[0.0012234544075675102, 0.0017851702913217827]","{'mu': 0.9016961259971641, 'gammax': 199.8891619761004}",26.504154,4,12005.452676332422925
26,Polling,5,True,SYMBOLIC_LOG_SEMIRING,"[0.0012234544075675102, 0.0017851702913217827]","{'mu': 0.9016961259971614, 'gammax': 199.88916197610038}",26.673326,4,12005.452676332419287
27,Polling,5,False,CLASSIC,"[0.0012234544075675102, 0.0017851702913217827]","{'mu': 2.2855854412278766e-05, 'gammax': 0.003091582681209291}",117.443634,13,-200.07537681281331743
28,Polling,5,False,SYMBOLIC,"[0.0012234544075675102, 0.0017851702913217827]","{'mu': 2.285585441227877e-05, 'gammax': 0.003091582681209288}",37.87976,13,-200.07537681281331743
29,Polling,5,False,SYMBOLIC_LOG_SEMIRING,"[0.0012234544075675102, 0.0017851702913217827]","{'mu': 2.28558544122788e-05, 'gammax': 0.0030915826812092976}",37.890097,13,-200.07537681281306163
30,Polling,6,True,CLASSIC,"[0.0003014086549194114, 0.001375105354937631]","{'mu': 0.9704012790973598, 'gammax': 192.57798697529242}",215.147297,4,12052.771393154904217
31,Polling,6,True,SYMBOLIC,"[0.0003014086549194114, 0.001375105354937631]","{'mu': 0.9704012790973598, 'gammax': 192.5779869752925}",26.561619,4,12052.771393154904217
32,Polling,6,True,SYMBOLIC_LOG_SEMIRING,"[0.0003014086549194114, 0.001375105354937631]","{'mu': 0.9704012790973683, 'gammax': 192.57798697529213}",26.599019,4,12052.771393154909674
33,Polling,6,False,CLASSIC,"[0.0003014086549194114, 0.001375105354937631]","{'mu': 9.871324455605467e-06, 'gammax': 0.0017041585343786957}",98.632177,11,-154.96300005791664489
34,Polling,6,False,SYMBOLIC,"[0.0003014086549194114, 0.001375105354937631]","{'mu': 9.871324455605467e-06, 'gammax': 0.0017041585343786961}",31.788914,11,-154.96300005791667331
35,Polling,6,False,SYMBOLIC_LOG_SEMIRING,"[0.0003014086549194114, 0.001375105354937631]","{'mu': 9.87132445560545e-06, 'gammax': 0.0017041585343786935}",31.766628,11,-154.96300005791664489
36,Polling,7,True,CLASSIC,"[0.0003556688806286385, 0.0006173271729376879]","{'mu': 0.9120226354494633, 'gammax': 204.6215054894815}",215.401315,4,12089.831317506575942
37,Polling,7,True,SYMBOLIC,"[0.0003556688806286385, 0.0006173271729376879]","{'mu': 0.9120226354494636, 'gammax': 204.62150548948142}",26.514231,4,12089.831317506577761
38,Polling,7,True,SYMBOLIC_LOG_SEMIRING,"[0.0003556688806286385, 0.0006173271729376879]","{'mu': 0.912022635449457, 'gammax': 204.62150548948176}",26.61605,4,12089.831317506574123
39,Polling,7,False,CLASSIC,"[0.0003556688806286385, 0.0006173271729376879]","{'mu': 4.618084700853367e-06, 'gammax': 0.0009848711150778119}",59.632609,11,-126.10287234306994719
40,Polling,7,False,SYMBOLIC,"[0.0003556688806286385, 0.0006173271729376879]","{'mu': 4.618084700853367e-06, 'gammax': 0.0009848711150778119}",25.815318,11,-126.10287234306994719
41,Polling,7,False,SYMBOLIC_LOG_SEMIRING,"[0.0003556688806286385, 0.0006173271729376879]","{'mu': 4.618084700853368e-06, 'gammax': 0.000984871115077813}",25.861734,11,-126.102872343069989824
42,Polling,8,True,CLASSIC,"[0.00025780212237688836, 0.000519248359002385]","{'mu': 1.1701950806262122, 'gammax': 201.46537350951982}",215.619912,4,12078.457190172450282
43,Polling,8,True,SYMBOLIC,"[0.00025780212237688836, 0.000519248359002385]","{'mu': 1.170195080626212, 'gammax': 201.46537350951985}",26.546687,4,12078.457190172452101
44,Polling,8,True,SYMBOLIC_LOG_SEMIRING,"[0.00025780212237688836, 0.000519248359002385]","{'mu': 1.1701950806262134, 'gammax': 201.46537350952028}",26.645221,4,12078.457190172441187
45,Polling,8,False,CLASSIC,"[0.00025780212237688836, 0.000519248359002385]","{'mu': 2.289276430676191e-06, 'gammax': 0.0007858512345389841}",59.728195,11,-86.30873413563182339
46,Polling,8,False,SYMBOLIC,"[0.00025780212237688836, 0.000519248359002385]","{'mu': 2.289276430676191e-06, 'gammax': 0.0007858512345389841}",25.875757,11,-86.30873413563182339
47,Polling,8,False,SYMBOLIC_LOG_SEMIRING,"[0.00025780212237688836, 0.000519248359002385]","{'mu': 2.289276430676185e-06, 'gammax': 0.0007858512345389825}",25.837425,11,-86.308734135631851814
48,Polling,9,True,CLASSIC,"[0.0011361048806690184, 0.0021039655676718455]","{'mu': 0.8416096555902282, 'gammax': 198.1115164692691}",215.713547,4,12065.520914543101753
49,Polling,9,True,SYMBOLIC,"[0.0011361048806690184, 0.0021039655676718455]","{'mu': 0.8416096555902283, 'gammax': 198.11151646926908}",26.573427,4,12065.520914543101753
50,Polling,9,True,SYMBOLIC_LOG_SEMIRING,"[0.0011361048806690184, 0.0021039655676718455]","{'mu': 0.8416096555902262, 'gammax': 198.11151646926925}",26.958675,4,12065.520914543098115
51,Polling,9,False,CLASSIC,"[0.0011361048806690184, 0.0021039655676718455]","{'mu': 1.1413620816836909e-05, 'gammax': 0.0032462627228669193}",43.424408,8,-86.58480506758334627
52,Polling,9,False,SYMBOLIC,"[0.0011361048806690184, 0.0021039655676718455]","{'mu': 1.1413620816836909e-05, 'gammax': 0.0032462627228669193}",18.688741,8,-86.58480506758334627
53,Polling,9,False,SYMBOLIC_LOG_SEMIRING,"[0.0011361048806690184, 0.0021039655676718455]","{'mu': 1.141362081683691e-05, 'gammax': 0.0032462627228669154}",18.781508,8,-86.584805067583374694
54,Polling,10,True,CLASSIC,"[0.0019632098729114294, 0.001593160530473901]","{'mu': 0.9978757042986839, 'gammax': 199.549676037011}",215.850034,4,12167.440646500119328
55,Polling,10,True,SYMBOLIC,"[0.0019632098729114294, 0.001593160530473901]","{'mu': 0.9978757042986839, 'gammax': 199.54967603701104}",26.752838,4,12167.440646500121147
56,Polling,10,True,SYMBOLIC_LOG_SEMIRING,"[0.0019632098729114294, 0.001593160530473901]","{'mu': 0.9978757042986768, 'gammax': 199.54967603701164}",26.710586,4,12167.440646500113871
57,Polling,10,False,CLASSIC,"[0.0019632098729114294, 0.001593160530473901]","{'mu': 2.408867607052321e-05, 'gammax': 0.0036382957523974605}",117.521231,13,-179.18244363142480324
58,Polling,10,False,SYMBOLIC,"[0.0019632098729114294, 0.001593160530473901]","{'mu': 2.4088676070523214e-05, 'gammax': 0.0036382957523974605}",37.870223,13,-179.18244363142480324
59,Polling,10,False,SYMBOLIC_LOG_SEMIRING,"[0.0019632098729114294, 0.001593160530473901]","{'mu': 2.4088676070523214e-05, 'gammax': 0.0036382957523974587}",37.830932,13,-179.1824436314247464
