,model,run,timed,implementation,initial_parameters,final_parameters,learning_time,learning_rounds,training_set_loglikelihood
15,Philosophers,3,False,CLASSIC,"[0.0018375377358404636, 0.0017047304714364537, 0.0014018752755625107]","{'alpha': 0.37613375794765536, 'betax': 0.09492561854107469, 'zetax': 0.23359696302356284}",4344.937649,15,-1906.4494610925589768
16,Philosophers,3,False,SYMBOLIC,"[0.0018375377358404636, 0.0017047304714364537, 0.0014018752755625107]","{'alpha': 0.376133757947655, 'betax': 0.09492561854107462, 'zetax': 0.23359696302356278}",1273.655788,15,-1906.4494610925589768
17,Philosophers,3,False,SYMBOLIC_LOG_SEMIRING,"[0.0018375377358404636, 0.0017047304714364537, 0.0014018752755625107]","{'alpha': 0.376133757947656, 'betax': 0.09492561854107483, 'zetax': 0.2335969630235633}",1274.690222,15,-1906.4494610925592042
18,Philosophers,4,True,CLASSIC,"[0.0020842266433731852, 0.0013008794181530875, 0.0017147158880104825]","{'alpha': 0.37191202578519783, 'betax': 0.09535294308284199, 'zetax': 0.20326892529951904}",3771.037219,3,-3110.3403661659090176
19,Philosophers,4,True,SYMBOLIC,"[0.0020842266433731852, 0.0013008794181530875, 0.0017147158880104825]","{'alpha': 0.37191202578519783, 'betax': 0.09535294308284198, 'zetax': 0.20326892529951904}",268.179975,3,-3110.3403661659090176
20,Philosophers,4,True,SYMBOLIC_LOG_SEMIRING,"[0.0020842266433731852, 0.0013008794181530875, 0.0017147158880104825]","{'alpha': 0.3719120257851978, 'betax': 0.09535294308284205, 'zetax': 0.20326892529951915}",269.028978,3,-3110.3403661659085628
21,Philosophers,4,False,CLASSIC,"[0.0020842266433731852, 0.0013008794181530875, 0.0017147158880104825]","{'alpha': 0.4581577579435036, 'betax': 0.11856255414938847, 'zetax': 0.29894990768604934}",4169.908325,15,-2002.9308604323639429
22,Philosophers,4,False,SYMBOLIC,"[0.0020842266433731852, 0.0013008794181530875, 0.0017147158880104825]","{'alpha': 0.45815775794350333, 'betax': 0.11856255414938846, 'zetax': 0.29894990768604934}",1275.03585,15,-2002.9308604323639429
23,Philosophers,4,False,SYMBOLIC_LOG_SEMIRING,"[0.0020842266433731852, 0.0013008794181530875, 0.0017147158880104825]","{'alpha': 0.45815775794350305, 'betax': 0.11856255414938857, 'zetax': 0.29894990768604923}",1275.165321,15,-2002.9308604323641703
24,Philosophers,5,True,CLASSIC,"[0.002021526276072389, 0.0008209655706161254, 0.0014222789358603572]","{'alpha': 0.36727952228953514, 'betax': 0.09237317861227727, 'zetax': 0.17908309278346674}",3761.781469,3,-3120.031380880686811
25,Philosophers,5,True,SYMBOLIC,"[0.002021526276072389, 0.0008209655706161254, 0.0014222789358603572]","{'alpha': 0.3672795222895351, 'betax': 0.09237317861227727, 'zetax': 0.1790830927834667}",269.058338,3,-3120.031380880686811
26,Philosophers,5,True,SYMBOLIC_LOG_SEMIRING,"[0.002021526276072389, 0.0008209655706161254, 0.0014222789358603572]","{'alpha': 0.3672795222895351, 'betax': 0.09237317861227724, 'zetax': 0.17908309278346674}",269.169613,3,-3120.0313808806877205
